a-150 tissue-equivalent plastic,,,,,,,,
1.127000,zaid,w-p,a-f,,,,,
Fe,26000,0.006434,0.001962,,,,,
,,,,,,,,
gadolinium,,,,,,,,
7.9004,,,,,,,,
Gd,64000,1,1,,,,,
,,,,,,,,
germanium high purity,,,,,,,,
5.323,,,,,,,,
Ge,32000,1,1,,,,,
,,,,,,,,
glass borosilicate,,,,,,,,
2.23,,,,,,,,
B,5000,0.040064,0.070449,,,,,
O,8016,0.539562,0.641095,,,,,
Na,11023,0.028191,0.023311,,,,,
Al,13027,0.011644,0.008204,,,,,
Si,14000,0.37722,0.255327,,,,,
K,19000,0.003321,0.001615,,,,,
,,,,,,,,
glass lead,,,,,,,,
6.22,,,,,,,,
O,8016,0.156453,0.592955,,,,,
Si,14000,0.080866,0.174592,,,,,
Ti,22000,0.008092,0.010251,,,,,
As,33075,0.002651,0.002146,,,,,
Pb,82000,0.751938,0.220056,,,,,
,,,,,,,,
glass plate,,,,,,,,
2.4,,,,,,,,
O,8016,0.4598,0.603858,,,,,
Na,11023,0.096441,0.088145,,,,,
Si,14000,0.336553,0.251791,,,,,
Ca,20000,0.107205,0.056205,,,,,
,,,,,,,,
gold,,,,,,,,
19.32,,,,,,,,
Au,79197,1,1,,,,,
,,,,,,,,
inconel 600,,,,,,,,
8.47,,,,,,,,
C,6000,0.00098,0.004642,,,,,
Si,14000,0.00325,0.006583,,,,,
S,16000,0.0001,0.000177,,,,,
Cr,24000,0.155,0.169591,,,,,
Mn,25055,0.0065,0.006731,,,,,
Fe,26000,0.08,0.081498,,,,,
Ni,28000,0.75093,0.727867,,,,,
Cu,29000,0.00325,0.00291,,,,,
,,,,,,,,
inconel 625,,,,,,,,
2.32,,,,,,,,
H,1001,0.0075,0.133302,,,,,
C,6000,0.0552,0.082334,,,,,
N,7014,0.0002,0.000256,,,,,
O,8016,0.4849,0.542947,,,,,
Na,11023,0.0063,0.004909,,,,,
Mg,12000,0.0125,0.009213,,,,,
Al,13027,0.0217,0.014408,,,,,
Si,14000,0.155,0.098869,,,,,
S,16000,0.0019,0.001062,,,,,
K,19000,0.0137,0.006277,,,,,
Ca,20000,0.23,0.102809,,,,,
Ti,22000,0.001,0.000374,,,,,
Fe,26000,0.0101,0.00324,,,,,
,,,,,,,,
inconel 718,,,,,,,,
8.19,,,,,,,,
B,5000,0.00005,0.000267,,,,,
C,6000,0.00073,0.003507,,,,,
Al,13027,0.005,0.010694,,,,,
Si,14000,0.00318,0.006534,,,,,
P,15031,0.00014,0.000261,,,,,
S,16000,0.00014,0.000252,,,,,
Ti,22000,0.009,0.01085,,,,,
Cr,24000,0.19,0.210871,,,,,
Mn,25055,0.00318,0.00334,,,,,
Fe,26000,0.17,0.175671,,,,,
Ni,28000,0.525,0.516184,,,,,
Co,27059,0.0091,0.008911,,,,,
Cu,29000,0.00273,0.002479,,,,,
Nb,41093,0.05125,0.031833,,,,,
Mo,42000,0.0305,0.018346,,,,,
,,,,,,,,
indium,,,,,,,,
7.31,,,,,,,,
In,49000,1,1,,,,,
,,,,,,,,
iron,,,,,,,,
7.874,,,,,,,,
Fe,26000,1,1,,,,,
,,,,,,,,
iron boride Fe2B,,,,,,,,
7.3,,,,,,,,
B,5000,0.088252,0.333333,,,,,
Fe,26000,0.911748,0.666667,,,,,
,,,,,,,,
iron boride FeB,,,,,,,,
7.15,,,,,,,,
B,5000,0.162174,0.499969,,,,,
Fe,26000,0.837826,0.500031,,,,,
,,,,,,,,
iron cast,,,,,,,,
7.15,,,,,,,,
C,6000,0.034,0.137104,,,,,
Si,14000,0.026,0.044836,,,,,
P,15031,0.003,0.004691,,,,,
S,16000,0.001,0.00151,,,,,
Mn,25055,0.0065,0.00573,,,,,
Fe,26000,0.9295,0.806128,,,,,
,,,,,,,,
lead,,,,,,,,
11.35,,,,,,,,
Pb,82000,1,1,,,,,
,,,,,,,,
lithium,,,,,,,,
0.534,,,,,,,,
Li,3000,1,1,,,,,
,,,,,,,,
lucite,,,,,,,,
1.19,,,,,,,,
H,1001,0.080538,0.53332,,,,,
C,6000,0.599848,0.333345,,,,,
O,8016,0.319614,0.133335,,,,,
,,,,,,,,
magnesium,,,,,,,,
